order,SpecimenID,Site,X,Y,Spit,Raw.material,Key
4102,17925,BCJ area F7,15.25,11,8,quartz,NA
4103,17926,BCJ area F7,15.85,10.55,8,quartz,NA
4104,17927,BCJ area F7,15.7,10.2,8,quartz,NA
4105,17928,BCJ area F7,16,10.45,10,quartz,NA
4106,17929,BCJ area F7,15.45,10.95,11,quartz,NA
4107,17930,BCJ area F7,18,13,2,silcrete,NA
4108,17931,BCJ area F7,18.5,13.5,2,quartz,NA
4109,17932,BCJ area F7,18.8,13.7,4,silcrete,NA
4110,17933,BCJ area F7,18.3,13.65,4,silcrete,NA
4111,17934,BCJ area F7,18.9,13.35,4,silcrete,NA
4112,17935,BCJ area F7,18.35,13.2,4,silcrete,NA
4113,17936,BCJ area F7,18.95,13.095,4,silcrete,NA
4114,17937,BCJ area F7,18.1,13.85,4,silcrete,NA
4115,17938,BCJ area F7,18.7,13.05,4,silcrete,NA
4116,17939,BCJ area F7,18.05,13.4,4,silcrete,NA
4117,17940,BCJ area F7,18.6,13.8,4,silcrete,NA
4118,17941,BCJ area F7,18.6,13.15,4,silcrete,NA
4119,17942,BCJ area F7,18.6,13.35,4,silcrete,NA
4120,17943,BCJ area F7,18.25,13.05,4,silcrete,NA
4121,17944,BCJ area F7,18.125,14,4,silcrete,Backed artefact imported
4122,17945,BCJ area F7,18.85,13.55,4,silcrete,NA
4123,17946,BCJ area F7,18.7,13.2,4,silcrete,NA
4124,17947,BCJ area F7,18.7,13.45,4,quartz,NA
4125,17948,BCJ area F7,18.45,13.95,4,quartz,NA
4126,17949,BCJ area F7,18.25,13.8,4,quartz,Flake local quartz
4127,17950,BCJ area F7,18.5,13.6,4,quartz,NA
4128,17951,BCJ area F7,18.85,13.95,4,quartz,NA
4129,17952,BCJ area F7,18.8,13.8,4,quartz,NA
4130,17953,BCJ area F7,18,13.75,4,quartz,Flake local quartz
4131,17954,BCJ area F7,18.65,13.6,4,quartz,Flake local quartz
4132,17955,BCJ area F7,18.55,13.1,4,quartz,Flake local quartz
4133,17956,BCJ area F7,18.3,13.3,4,quartz,NA
4134,17957,BCJ area F7,18.45,13.75,6,silcrete,NA
4135,17958,BCJ area F7,18.1,13.05,6,silcrete,NA
4136,17959,BCJ area F7,18.95,13.05,6,silcrete,Flake local F13
4137,17960,BCJ area F7,18.8,13.45,6,silcrete,NA
4138,17961,BCJ area F7,18.1,13.1,6,silcrete,NA
4139,17962,BCJ area F7,18.6,13.6,6,silcrete,NA
4140,17963,BCJ area F7,18.9,13.8,6,silcrete,NA
4141,17964,BCJ area F7,18.4,13.75,6,silcrete,NA
4142,17965,BCJ area F7,19.8,13.45,6,silcrete,NA
4143,17966,BCJ area F7,18.45,13.3,6,silcrete,NA
4144,17967,BCJ area F7,19,13.195,6,silcrete,NA
4145,17968,BCJ area F7,18.2,13.95,6,silcrete,NA
4146,17969,BCJ area F7,18.8,13.15,6,silcrete,NA
4147,17970,BCJ area F7,18.15,13.5,6,silcrete,NA
4148,17971,BCJ area F7,18.7,13.9,6,silcrete,NA
4149,17972,BCJ area F7,18.15,13.25,6,silcrete,NA
4150,17973,BCJ area F7,18.7,13.45,6,silcrete,NA
4151,17974,BCJ area F7,18.35,13.15,6,silcrete,NA
4152,17975,BCJ area F7,18.35,13.18,6,quartz,NA
4153,17976,BCJ area F7,18.95,13.65,6,quartz,Flake local quartz
4154,17977,BCJ area F7,18.8,13.3,6,quartz,NA
4155,17978,BCJ area F7,18.1,13.55,6,quartz,Flake local quartz
4156,17979,BCJ area F7,18.55,13.95,8,silcrete,NA
4157,17980,BCJ area F7,18.35,13.9,8,silcrete,NA
4158,17981,BCJ area F7,18.6,13.7,8,silcrete,NA
4159,17982,BCJ area F7,18.95,13.95,8,silcrete,NA
4160,17983,BCJ area F7,18.1,13.9,8,quartz,NA
4161,17984,BCJ area F7,18.1,13.85,8,quartz,NA
4162,17985,BCJ area F7,18.75,13.7,8,quartz,NA
4163,17986,BCJ area F7,18.65,13.2,8,quartz,NA
4164,17987,BCJ area F7,18.4,13.4,8,quartz,NA
4165,17988,BCJ area F7,18.55,13.85,8,quartz,NA
4166,17989,BCJ area F7,18.2,13.15,8,quartz,NA
4167,17990,BCJ area F7,18.9,13.15,8,quartz,NA
4168,17991,BCJ area F7,18.9,13.55,8,quartz,Flake local quartz
4169,17992,BCJ area F7,18.2,13.2,8,quartz,NA
4170,17993,BCJ area F7,18.7,13.7,10,quartz,NA
4171,17994,BCJ area F7,18,12,2,silcrete,NA
4172,17995,BCJ area F7,18.5,12.5,2,quartz,NA
4173,17996,BCJ area F7,18.8,12.7,4,silcrete,NA
4174,17997,BCJ area F7,18.3,12.65,4,silcrete,NA
4175,17998,BCJ area F7,18.9,12.35,4,silcrete,NA
4176,17999,BCJ area F7,18.35,12.2,4,silcrete,NA
4177,18000,BCJ area F7,18.95,12.095,4,silcrete,NA
4178,18001,BCJ area F7,18.1,12.85,4,silcrete,NA
4179,18002,BCJ area F7,18.7,12.05,4,silcrete,NA
4180,18003,BCJ area F7,18.05,12.4,4,silcrete,NA
4181,18004,BCJ area F7,18.6,12.8,4,silcrete,NA
4182,18005,BCJ area F7,19,12.15,4,silcrete,NA
4183,18006,BCJ area F7,18.6,12.35,4,quartz,Flake local quartz
4184,18007,BCJ area F7,18.25,12.05,4,quartz,NA
4185,18008,BCJ area F7,18.25,13,4,quartz,Flake local quartz
4186,18009,BCJ area F7,18.85,12.55,4,quartz,NA
4187,18010,BCJ area F7,18.7,12.2,4,quartz,NA
4188,18011,BCJ area F7,19,12.45,6,silcrete,NA
4189,18012,BCJ area F7,18.45,12.95,6,silcrete,NA
4190,18013,BCJ area F7,18.25,12.8,6,silcrete,NA
4191,18014,BCJ area F7,18.5,12.6,6,silcrete,NA
4192,18015,BCJ area F7,18.85,12.95,6,silcrete,NA
4193,18016,BCJ area F7,19,12.8,6,silcrete,NA
4194,18017,BCJ area F7,18,12.75,6,silcrete,NA
4195,18018,BCJ area F7,18.65,12.6,6,silcrete,NA
4196,18019,BCJ area F7,18.55,12.1,6,silcrete,NA
4197,18020,BCJ area F7,18.3,12.3,6,silcrete,NA
4198,18021,BCJ area F7,18.45,12.75,6,quartz,NA
4199,18022,BCJ area F7,18.1,12.05,6,quartz,NA
4200,18023,BCJ area F7,18.95,12.05,8,quartz,NA
4202,18024,BCJ area F7,18.6,12.95,8,quartz,NA
4203,18025,BCJ area F7,18.6,12.6,8,quartz,NA
4205,18026,BCJ area F7,19.8,14.05,8,quartz,NA
4206,18027,BCJ area F7,18.4,14.25,8,quartz,NA
4207,18028,BCJ area F7,18.9,14.2,8,silcrete,NA
4208,18029,BCJ area F7,18.2,13.9,8,silcrete,NA
4209,18030,BCJ area F7,18.95,13.75,10,quartz,NA
4210,18031,BCJ area F7,18.3,13.645,10,quartz,NA
4211,18032,BCJ area F7,18.7,14.4,10,quartz,NA
4212,18033,BCJ area F7,18.7,13.6,10,quartz,NA
4213,18034,BCJ area F7,15,11,4,silcrete,NA
4214,18035,BCJ area F7,15.5,11.5,4,quartz,NA
4215,18036,BCJ area F7,15.8,11.7,4,quartz,NA
4216,18037,BCJ area F7,15.3,11.65,4,quartz,NA
4217,18038,BCJ area F7,15.9,11.35,6,quartz,NA
4218,18039,BCJ area F7,15.35,11.2,6,quartz,NA
4219,18040,BCJ area F7,15.95,11.095,6,quartz,NA
4220,18041,BCJ area F7,15.1,11.85,6,quartz,NA
4221,18042,BCJ area F7,15.7,11.05,6,silcrete,NA
4222,18043,BCJ area F7,15.05,11.4,6,silcrete,NA
4223,18044,BCJ area F7,15.6,11.8,6,silcrete,NA
4224,18045,BCJ area F7,16,11.15,8,quartz,NA
4225,18046,BCJ area F7,15.6,11.35,8,quartz,NA
4226,18047,BCJ area F7,15.25,11.05,8,quartz,NA
4227,18048,BCJ area F7,15.25,12,8,quartz,NA
4228,18049,BCJ area F7,15.85,11.55,8,quartz,NA
4229,18050,BCJ area F7,15.7,11.2,8,quartz,NA
4230,18051,BCJ area F7,16,11.45,8,silcrete,NA
4231,18052,BCJ area F7,15.45,11.95,10,quartz,NA
4232,18053,BCJ area F7,15.25,11.8,10,quartz,NA
4233,18054,BCJ area F7,15.5,11.6,10,quartz,NA
4234,18055,BCJ area F7,15.85,11.95,10,NA,NA
4235,18056,BCJ area F7,17,13,2,quartz,Flake local quartz
4236,18057,BCJ area F7,17.5,13.5,2,quartz,Flake local quartz
4237,18058,BCJ area F7,17.8,13.7,4,quartz,NA
4238,18059,BCJ area F7,17.3,13.65,4,quartz,Flake local quartz
4239,18060,BCJ area F7,17.9,13.35,4,quartz,NA
4240,18061,BCJ area F7,17.35,13.2,4,quartz,NA
4241,18062,BCJ area F7,17.95,13.095,4,quartz,NA
4242,18063,BCJ area F7,17.1,13.85,4,quartz,Flake local quartz
4243,18064,BCJ area F7,17.7,13.05,4,silcrete,NA
4244,18065,BCJ area F7,17.05,13.4,4,silcrete,NA
4245,18066,BCJ area F7,17.6,13.8,4,NA,NA
4246,18067,BCJ area F7,18,13.15,4,silcrete,NA
4247,18068,BCJ area F7,17.6,13.35,4,silcrete,NA
4248,18069,BCJ area F7,17.25,13.05,4,silcrete,NA
4249,18070,BCJ area F7,17.25,14,4,silcrete,NA
4250,18071,BCJ area F7,17.85,13.55,4,silcrete,NA
4251,18072,BCJ area F7,17.7,13.2,4,silcrete,NA
4252,18073,BCJ area F7,18,13.45,4,silcrete,NA
4253,18074,BCJ area F7,17.45,13.95,4,NA,NA
4254,18075,BCJ area F7,17.25,13.8,4,silcrete,NA
4255,18076,BCJ area F7,17.5,13.6,4,silcrete,NA
4256,18077,BCJ area F7,17.85,13.95,6,quartz,NA
4257,18078,BCJ area F7,18,13.8,6,quartz,Flake local quartz
4258,18079,BCJ area F7,17,13.75,6,quartz,Core local quartz
4259,18080,BCJ area F7,17.65,13.6,6,quartz,NA
4260,18081,BCJ area F7,17.55,13.1,6,quartz,Flake local quartz
4261,18082,BCJ area F7,17.3,13.3,6,quartz,Flake local quartz
4262,18083,BCJ area F7,17.45,13.75,6,quartz,Flake local quartz
4263,18084,BCJ area F7,17.1,13.05,6,quartz,Flake local quartz
4264,18085,BCJ area F7,17.95,13.05,6,quartz,Flake local quartz
4265,18086,BCJ area F7,17.8,13.45,6,quartz,Flake local quartz
4266,18087,BCJ area F7,17.1,13.1,6,silcrete,NA
4267,18088,BCJ area F7,17.6,13.6,6,silcrete,NA
4268,18089,BCJ area F7,17.9,13.8,6,silcrete,NA
4269,18090,BCJ area F7,17.4,13.75,6,silcrete,NA
4270,18091,BCJ area F7,18,13.45,6,silcrete,NA
4271,18092,BCJ area F7,17.45,13.3,6,silcrete,NA
4272,18093,BCJ area F7,18,13.195,6,silcrete,NA
4273,18094,BCJ area F7,17.2,13.95,6,silcrete,NA
4274,18095,BCJ area F7,17.8,13.15,6,silcrete,NA
4275,18096,BCJ area F7,17.15,13.5,6,silcrete,NA
4276,18097,BCJ area F7,17.7,13.9,6,silcrete,NA
4277,18098,BCJ area F7,17.15,13.25,6,silcrete,NA
4278,18099,BCJ area F7,17.7,13.45,6,silcrete,NA
4279,18100,BCJ area F7,17.35,13.15,8,quartz,Flake local quartz
4280,18101,BCJ area F7,17.35,13.18,8,quartz,Flake local quartz
4281,18102,BCJ area F7,17.95,13.65,8,quartz,Flake local quartz
4282,18103,BCJ area F7,17.8,13.3,8,silcrete,NA
4283,18104,BCJ area F7,17.1,13.55,10,quartz,Flake local quartz
4284,18105,BCJ area F7,16,11,2,quartz,NA
4285,18106,BCJ area F7,16.5,11.5,2,quartz,NA
4286,18107,BCJ area F7,16.8,11.7,2,quartz,NA
4287,18108,BCJ area F7,16.3,11.65,4,silcrete,NA
4288,18109,BCJ area F7,16.9,11.35,4,quartz,NA
4289,18110,BCJ area F7,16.35,11.2,4,quartz,Flake local quartz
4290,18111,BCJ area F7,16.95,11.095,4,quartz,NA
4291,18112,BCJ area F7,16.1,11.85,6,silcrete,NA
4292,18113,BCJ area F7,16.7,11.05,6,silcrete,NA
4293,18114,BCJ area F7,16.05,11.4,6,quartz,NA
4294,18115,BCJ area F7,16.6,11.8,6,quartz,NA
4295,18116,BCJ area F7,17,11.15,6,quartz,NA
4296,18117,BCJ area F7,16.6,11.35,6,quartz,NA
4297,18118,BCJ area F7,16.25,11.05,6,quartz,NA
4298,18119,BCJ area F7,16.25,12,6,quartz,NA
4299,18120,BCJ area F7,16.85,11.55,8,quartz,NA
4300,18121,BCJ area F7,16.7,11.2,8,quartz,NA
4301,18122,BCJ area F7,17,11.45,10,quartz,NA
4302,18123,BCJ area F7,16.65,11.95,10,quartz,Flake local quartz
4303,18124,BCJ area F7,16.85,11.8,10,quartz,Flake local quartz
4304,18125,BCJ area F7,16.5,11.6,10,quartz,NA
4305,18126,BCJ area F7,16.85,11.95,10,quartz,NA
4306,18127,BCJ area F7,17,11.8,10,quartz,NA
