ID_loukas,105_LG_Bas_clean.tps,105_LG_Bas_ID_added.tps,ID,Amy's ID number,Length,Max Width,LMW_matlab,BASI_matlab,AW,Age,spit,nodule_X,nodule_two_or_more,nodule_Area,raw_material,DISCARD,SITE,SITE_detail,SITE_GROUPED,AMY NOTES,Pit,TP,Spit,Plotted,Image J ID,SpecimenID,Notes,TP spit,Lustre,Weight,Category,Breakage,LONG/TRAN Breakage type,Retouch,Flake category,Cortex,Event size,Core,bipolar,import_2,import,Use_wear,CONJOIN SET,Perc. length,BASI,CON NO PIECES,CON WITH,CON TYPE,Complete refit,Platform,O'hang rem.,Plat crushing,Ext. Plat. Angle,Termination,BF FORM,Dorsal scars,Arris,Platform width,Max P width,Termination width,Plat thick,Max_thick,BA max back thick,BA FORM,BA backed edge no,BA cut edge,BA max width,LMW,BA backed edge 1,BA backed edge 2,BA backed edge 3,Heat Damage/surface pitting,Potlid,Area,Max_Length,Max_Width,elongation,FeretX,FeretY,Feret angle,Perimeter,Round
1205,ID=1205,ID=1205QUNAABCF,1205,AW21822,15.416,13.831,4.441,0.576154645,21822,1200-1500,4,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F63,,4,No,5,21822,,2 (10-20cm),,0.85,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,5,3.58,6,2,15.3,,,17.94,14.83,,,,132.4,17.6,13.6,1.294117647,61.5,148.5,110.746,53.966,0.798
1285,ID=1285,ID=1285QUNAABCF,1285,AW20373,14.329,12.103,5.804,0.810105381,20373,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,18,20373,,3 (20-30cm),,0.56,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,2.93,2.75,3,2,14.95,,,11.03,10.79,,,,123.9,15,12.1,1.239669421,103.75,222,33.425,45.163,0.874
1286,ID=1286,ID=1286QUNAABCF,1286,AW20681,14.78,15.28,7.004,0.947767253,20681,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F58,,6,No,22,20681,,3 (20-30cm),,0.85,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.67,3.68,6,2,15.25,,,16.3,11.68,,,,163.6,16.9,15.2,1.111842105,34.25,97.75,66.468,58.698,0.885
1287,ID=1287,ID=1287QUNAABCF,1287,AW20404,17.752,9.562,3.461,0.389927895,20404,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,49,20404,,3 (20-30cm),,0.55,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.07,3.06,6,2,18.06,,,17.23,9.71,,,,107.9,17.6,9.6,1.833333333,132,131.25,108.178,50.931,0.536
1228,ID=1228,ID=1228SIPROBCF,1228,AW19351,21.365,12.271,6.217,0.581979874,19351,1200-1500,6,F2 - F26 SIL,F26 SIL,F2,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F41,,6,No,12,19351,"ONLY DISTAL END BACKED, CORTEX ACTS AS NATURAL CHORD 2, AND SO DOES FACETTED PLATFORM CHORD 3",3 (20-30cm),no,0.82,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,CR - BA,No,F26A,22.09,0,12,"18955, 18958, 19059, 19078, 19079, 19091, 19108, 19350, 19351, 19372, 19374, 19391",Stacking,y,facetted,No,No,-6190,removed,,2,2,9.14,13.02,,1.98,2.71,2.21,7,1,17.52,,,9.36,,,,,190.1,22.2,12.5,1.776,65.25,37,106.39,58.259,0.567
1229,ID=1229,ID=1229SIPROBCF,1229,AW19363,21.503,5.103,2.02,0.187880761,19363,1200-1500,4,F2 - F26 SIL,F26 SIL,F2,SILCRETE,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F42,,4,No,1,19363,,2 (10-20cm),no,0.39,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,CR - BA,Yes,,22.3,0,,,,y,removed,,,,feather,,4 or more,1,,6.3,,,3.48,4.05,1,1,21.67,,,20.41,,,,,85.7,22.3,6.3,3.53968254,22.5,141,85.503,55.188,0.242
1220,ID=1220,ID=1220CHPROBCF,1220,AW18931,12.101,5.862,6.016,0.994297992,18931,1200-1500,6,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F21,,6,No,12,18931,,3 (20-30cm),,0.24,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,CR - BA,No,,12.42,0,,,,y,removed,,,,removed,,4 or more,1,,6.29,,,3.8,3.95,9,2,12.2,,,10.34,4.94,,,,50.6,12.4,5.9,2.101694915,54,20.75,64.983,30.86,0.461
1221,ID=1221,ID=1221CHPROBCF,1221,AW18663,15.93,7.794,2.93,0.367859385,18663,1200-1500,6,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F17,,6,No,30,18663,,3 (20-30cm),,0.59,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,CR - BA,No,,18.45,0,,,,y,complex - mulitple,No,No,-6190,,,,,6.7,8.15,0.57,0.59,5.22,4.96,9,2,16.42,,,17.19,7.03,,,,99.4,18,7.8,2.307692308,54.25,80.25,76.35,43.324,0.469
1222,ID=1222,ID=1222CHPROBCF,1222,AW19428,17.658,8.887,5.956,0.674595084,19428,1200-1500,6,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F46,,6,No,17,19428,,3 (20-30cm),,0.41,Flake,1,,backed,Backed artefact,Tertiary (none),Large (26+),,,CR - BA,CR - BA,No,,18.12,0,,,,y,removed,,,,removed,,4 or more,1,,9.09,,,3.41,2.2,9,2,18.27,,,15.51,8.19,,,,107.2,18.2,9.4,1.936170213,20.5,23.25,67.319,47.042,0.538
1224,ID=1224,ID=1224CHPROBCF,1224,AW19044,14.944,7.561,5.641,0.75495182,19044,1200-1500,4,F2 -F28 CHERT,F28 CHERT,F2,CHERT,ON-SITE PRODUCTION FROM CORE,BCJ AREA F,BCJ AREA F - area 2 - centre,Lake George,,F28,,4,No,2,19044,,2 (10-20cm),,0.35,Flake,1,,backed,Backed artefact,Secondary (some),Large (26+),,,CR - BA,CR - BA,No,,15.75,0,,,,y,cortical,No,No,-6190,feather,,4 or more,1,1.86,7.73,0.3,1.07,3.78,4.54,6,2,14.22,,,11.76,9.16,,,,72.9,15.2,7.9,1.924050633,29.25,110.5,80.538,40.627,0.522
