ID,X105_LG_Bas_clean.tps,X105_LG_Bas_ID_added.tps,Amy.s.ID.number,spit,activity_area,Qu_present,raw_material,SITE,mode_of_entry,elongation
1242,ID=1242,ID=1242CHSETBCG,AW2717,8,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported,2.5
1243,ID=1243,ID=1243CHSETBCG,AW1240,6,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported,2.197278912
1244,ID=1244,ID=1244CHSETBCG,AW1044,6,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported,2.305882353
1245,ID=1245,ID=1245CHSETBCG,AW1460,6,Area 1,chert - quartz absent,CHERT,BCJ AREA G,Imported,2.868131868
1246,ID=1246,ID=1246SIPROBCG,AW2243,8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced,3.587301587
1247,ID=1247,ID=1247SIPROBCG,AW3675,6,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced,3.7625
1249,ID=1249,ID=1249SIPROBCG,AW1543,8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced,3.985294118
1250,ID=1250,ID=1250SIPROBCG,AW866,10,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced,1.685714286
1254,ID=1254,ID=1254QUNAAWN4,AW35093,4,Area 5,quartz,QUARTZ,WCL,Locally produced,1.552941176
1255,ID=1255,ID=1255QUNAAWN4,AW30337,5,Area 5,quartz,QUARTZ,WCL,Locally produced,2.342465753
1256,ID=1256,ID=1256QUNAAWN4,AW25095,2,Area 5,quartz,QUARTZ,WCL,Locally produced,1.170542636
1257,ID=1257,ID=1257QUNAAWN4,AW29000,4,Area 5,quartz,QUARTZ,WCL,Locally produced,1.441176471
1258,ID=1258,ID=1258QUNAAWN4,AW27111,4,Area 5,quartz,QUARTZ,WCL,Locally produced,1.463768116
1259,ID=1259,ID=1259SIISOWN4,AW27628,3,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,3.175438596
1260,ID=1260,ID=1260SIISOWN4,AW34676,5,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,1.885714286
1261,ID=1261,ID=1261SIISOWN4,AW28189,4,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,2.401960784
1262,ID=1262,ID=1262SIISOWN4,AW26445,2,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,1.331325301
1263,ID=1263,ID=1263CHISOWN4,AW28282,6,Area 5,chert - quartz present,CHERT,WCL,Imported,1.464516129
1264,ID=1264,ID=1264SIISOWN4,AW26592,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,1.292207792
1265,ID=1265,ID=1265SIISOWN4,AW26824,9,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,2.160377358
1266,ID=1266,ID=1266SIISOWN4,AW30812,4,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,2.574074074
1267,ID=1267,ID=1267SIISOWN4,AW28075,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Imported,2.168674699
1268,ID=1268,ID=1268SIPROWN4,AW34856,3,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.308411215
1269,ID=1269,ID=1269SIPROWN4,AW28285,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.765957447
1270,ID=1270,ID=1270SIPROWN4,AW28309,7,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.777777778
1271,ID=1271,ID=1271SIPROWN4,AW32859,5,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.472
1272,ID=1272,ID=1272SIPROWN4,AW32193,6,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.974576271
1273,ID=1273,ID=1273SIPRON14,AW39683,5,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.618644068
1274,ID=1274,ID=1274SIPRON14,AW40229,6,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.305343511
1275,ID=1275,ID=1275SIPRON14,AW39672,10,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,2.056179775
1276,ID=1276,ID=1276SIPRON14,AW39650-dist,5,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.266331658
1277,ID=1277,ID=1277SIPRON14,AW41073,4,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.321428571
1278,ID=1278,ID=1278SIISON14,AW38161,2,Area 6,silcrete - quartz present,SILCRETE,WCL,Imported,1.239316239
1279,ID=1279,ID=1279SIPRON14,AW40516,8,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.592
1280,ID=1280,ID=1280SIPRON14,AW39654,5,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.507352941
1281,ID=1281,ID=1281SIISOBCF,AW19381,4,Area 3,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported,3.379310345
1282,ID=1282,ID=1282CHPROBCF,AW19005,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced,1.385964912
1283,ID=1283,ID=1283CHPROBCF,AW19128,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced,1.830769231
1284,ID=1284,ID=1284CHPROBCF,AW18918,6,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced,1.674157303
1285,ID=1285,ID=1285QUNAABCF,AW20373,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.239669421
1286,ID=1286,ID=1286QUNAABCF,AW20681,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.111842105
1287,ID=1287,ID=1287QUNAABCF,AW20404,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.833333333
1289,ID=1289,ID=1289SIPRON14,"AW40202, 39521",9,Area 6,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.714285714
1293,ID=1293,ID=1293SIPROWN4,"AW28308, 28311",7,Area 5,silcrete - quartz present,SILCRETE,WCL,Locally produced,1.06
1294,ID=1294,ID=1294SIPROBCG,"AW534, 289",10,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced,3.647058824
1295,ID=1295,ID=1295SIPROBCG,"AW373, 2634",6,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Locally produced,3.52
1296,ID=1296,ID=1296SISETBCG,"AW2754, 2697",4,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported,3.529411765
1298,ID=1298,ID=1298SISETBCG,"AW1418, 1166",8,Area 1,silcrete - quartz absent,SILCRETE,BCJ AREA G,Imported,3.307692308
